id,frequency,start_time,end_time,metric_name,aggregation,value,geometry_id,is_holiday,is_valid,is_working,hierarchy_id,portfolio_id,data_source_id
10000000,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,min,178.2032,9102,False,True,True,,9000,1
10000001,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,mean,180.0008,9102,False,True,True,,9000,1
10000002,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,max,181.3963,9102,False,True,True,,9000,1
10000003,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,min,4.141,9102,False,True,True,,9000,1
10000004,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,mean,4.2485,9102,False,True,True,,9000,1
10000005,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,max,4.3483,9102,False,True,True,,9000,1
10000006,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,min,346.9224,9102,False,True,True,,9000,1
10000007,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,mean,363.1104,9102,False,True,True,,9000,1
10000008,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,max,371.0445,9102,False,True,True,,9000,1
10000009,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,min,96.5857,9102,False,True,True,,9000,1
10000010,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,mean,97.6225,9102,False,True,True,,9000,1
10000011,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,max,98.1355,9102,False,True,True,,9000,1
10000012,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,min,7.1335,9102,False,True,True,,9000,1
10000013,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,mean,7.153,9102,False,True,True,,9000,1
10000014,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,max,7.185,9102,False,True,True,,9000,1
10000015,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,min,202.8345,9102,False,True,True,,9000,1
10000016,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,mean,205.3104,9102,False,True,True,,9000,1
10000017,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,max,208.4821,9102,False,True,True,,9000,1
10000018,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,min,172.7905,9103,False,True,True,,9000,1
10000019,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,mean,174.5741,9103,False,True,True,,9000,1
10000020,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,max,176.1427,9103,False,True,True,,9000,1
10000021,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,min,3.9272,9103,False,True,True,,9000,1
10000022,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,mean,4.0239,9103,False,True,True,,9000,1
10000023,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,max,4.0859,9103,False,True,True,,9000,1
10000024,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,min,337.2137,9103,False,True,True,,9000,1
10000025,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,mean,348.2386,9103,False,True,True,,9000,1
10000026,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,co2,max,358.4764,9103,False,True,True,,9000,1
10000027,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,min,90.7181,9103,False,True,True,,9000,1
10000028,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,mean,92.4065,9103,False,True,True,,9000,1
10000029,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,max,93.7937,9103,False,True,True,,9000,1
10000030,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,min,7.2305,9103,False,True,True,,9000,1
10000031,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,mean,7.252,9103,False,True,True,,9000,1
10000032,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,ph,max,7.2843,9103,False,True,True,,9000,1
10000033,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,min,187.4786,9103,False,True,True,,9000,1
10000034,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,mean,190.5249,9103,False,True,True,,9000,1
10000035,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,max,193.0304,9103,False,True,True,,9000,1
10000036,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,min,54.341,9104,False,True,True,,9000,1
10000037,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,mean,55.0204,9104,False,True,True,,9000,1
10000038,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,max,55.6082,9104,False,True,True,,9000,1
10000039,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,min,1.9664,9104,False,True,True,,9000,1
10000040,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,mean,2.0283,9104,False,True,True,,9000,1
10000041,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,max,2.1033,9104,False,True,True,,9000,1
10000042,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,min,267.2304,9104,False,True,True,,9000,1
10000043,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,mean,275.194,9104,False,True,True,,9000,1
10000044,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,max,280.3808,9104,False,True,True,,9000,1
10000045,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,min,63.2204,9104,False,True,True,,9000,1
10000046,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,mean,64.95,9104,False,True,True,,9000,1
10000047,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,max,66.2181,9104,False,True,True,,9000,1
10000048,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,min,108.3239,9105,False,True,True,,9000,1
10000049,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,mean,110.3185,9105,False,True,True,,9000,1
10000050,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,max,112.0394,9105,False,True,True,,9000,1
10000051,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,min,1.4116,9105,False,True,True,,9000,1
10000052,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,mean,1.5082,9105,False,True,True,,9000,1
10000053,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,max,1.6329,9105,False,True,True,,9000,1
10000054,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,min,73.2388,9105,False,True,True,,9000,1
10000055,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,mean,74.8375,9105,False,True,True,,9000,1
10000056,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,max,76.1613,9105,False,True,True,,9000,1
10000057,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,min,252.3956,9105,False,True,True,,9000,1
10000058,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,mean,255.1811,9105,False,True,True,,9000,1
10000059,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,energy_consumption,max,259.4658,9105,False,True,True,,9000,1
10000060,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,min,147.9189,9106,False,True,True,,9000,1
10000061,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,mean,149.9696,9106,False,True,True,,9000,1
10000062,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,temperature,max,151.3746,9106,False,True,True,,9000,1
10000063,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,min,5.374,9106,False,True,True,,9000,1
10000064,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,mean,5.5595,9106,False,True,True,,9000,1
10000065,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,pressure,max,5.7997,9106,False,True,True,,9000,1
10000066,hourly,2025-06-01 00:00:00.000 +0100,2025-06-01 00:59:59.000 +0100,flow_rate,min,629.6999,9106,False,True,True,,9000,1
